participant,graph_nodes,question_level,adaptation,semi_subtype,error_type,keypress_norm,answer_norm,responded_in_time,rt_observed,update_questions,graph_image
sphynx_11,6,2,fully_adapted,,wrong_answer,3,1,True,7.962664799997583,Count the number of MALWARE nodes with high connection counts (node size 7-10),samples/6 node/6_nodes_S00083/no_caption/fully_adapted.png
sphynx_8,6,2,fully_adapted,,wrong_answer,1,0,True,4.835247999988496,Count the number of MALWARE nodes connected with at least 1 high confidence edge ( confidence 7-10).,samples/6 node/6_nodes_S00077/no_caption/fully_adapted.png
sphynx_9,6,2,fully_adapted,,wrong_answer,2,1,True,9.459523799945373,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/6 node/6_nodes_S00080/no_caption/fully_adapted.png
sphynx_9,6,2,fully_adapted,,wrong_answer,3,1,True,11.346872799913399,Count the number of MALWARE nodes with high connection counts (node size 7-10),samples/6 node/6_nodes_S00083/no_caption/fully_adapted.png
sphynx_2,6,2,fully_adapted,,wrong_answer,3,1,True,8.285788199980516,Count the number of MALWARE nodes with high connection counts (node size 7-10),samples/6 node/6_nodes_S00083/no_caption/fully_adapted.png
sphynx_12,6,2,non_adapted,,wrong_answer,1,2,True,6.59047610001312,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/6 node/6_nodes_S00020/no_caption/non_adapted.png
sphynx_13,6,2,non_adapted,,wrong_answer,3,2,True,11.622728400005144,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/6 node/6_nodes_S00020/no_caption/non_adapted.png
sphynx_3,6,2,non_adapted,,no_response,,0,False,,Count the number of MALWARE nodes with high connection counts (node size 7-10),samples/6 node/6_nodes_S00023/no_caption/non_adapted.png
sphynx_3,6,2,non_adapted,,no_response,,2,False,,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/6 node/6_nodes_S00020/no_caption/non_adapted.png
trial_1_3,6,2,non_adapted,,wrong_answer,3,2,True,16.255810400005203,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/6 node/6_nodes_S00020/no_caption/non_adapted.png
sphynx_6,6,2,non_adapted,,no_response,,0,False,,Count the number of MALWARE nodes with high connection counts (node size 7-10),samples/6 node/6_nodes_S00023/no_caption/non_adapted.png
sphynx_6,6,2,non_adapted,,wrong_answer,3,2,True,13.74389829998836,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/6 node/6_nodes_S00020/no_caption/non_adapted.png
sphynx_5_1,6,2,non_adapted,,wrong_answer,0,1,True,15.419517899979837,Count the number of ATTACK PATTERN nodes connected with at least 1 low confidence edge? (confidence of 1-3).,samples/6 node/6_nodes_S00026/no_caption/non_adapted.png
sphynx_5_1,6,2,non_adapted,,wrong_answer,1,2,True,10.753024199977745,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/6 node/6_nodes_S00020/no_caption/non_adapted.png
sphynx_10,6,2,non_adapted,,wrong_answer,3,2,True,12.083571200000279,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/6 node/6_nodes_S00020/no_caption/non_adapted.png
sphynx_4,6,2,non_adapted,,wrong_answer,2,0,True,9.27644349999899,Count the number of MALWARE nodes with high connection counts (node size 7-10),samples/6 node/6_nodes_S00023/no_caption/non_adapted.png
sphynx_4,6,2,non_adapted,,no_response,,2,False,,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/6 node/6_nodes_S00020/no_caption/non_adapted.png
sphynx_8,6,2,non_adapted,,no_response,,1,False,,Count the number of ATTACK PATTERN nodes connected with at least 1 low confidence edge? (confidence of 1-3).,samples/6 node/6_nodes_S00026/no_caption/non_adapted.png
sphynx_9,6,2,non_adapted,,no_response,,2,False,,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/6 node/6_nodes_S00020/no_caption/non_adapted.png
sphynx_2,6,2,non_adapted,,wrong_answer,3,2,True,12.24953960001585,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/6 node/6_nodes_S00020/no_caption/non_adapted.png
sphynx_3,6,2,semi_adapted,shape_nodes,wrong_answer,1,2,True,17.35159569999098,Count the number of MALWARE nodes connected with at least 1 high confidence edge ( confidence 7-10).,samples/6 node/6_nodes_S00137/no_caption/nodes_shape_tlp.png
sphynx_3,6,2,semi_adapted,color_nodes,no_response,,0,False,,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/6 node/6_nodes_S00140/no_caption/nodes_color_type.png
sphynx_7,6,2,semi_adapted,size_nodes,wrong_answer,3,2,True,15.305734099936672,Count the number of MALWARE nodes with high connection counts (node size 7-10),samples/6 node/6_nodes_S00143/no_caption/nodes_size_value.png
sphynx_7,6,2,semi_adapted,shape_nodes,wrong_answer,1,2,True,13.134872099966742,Count the number of MALWARE nodes connected with at least 1 high confidence edge ( confidence 7-10).,samples/6 node/6_nodes_S00137/no_caption/nodes_shape_tlp.png
sphynx_10,6,2,semi_adapted,shape_nodes,wrong_answer,1,2,True,7.44226279999998,Count the number of MALWARE nodes connected with at least 1 high confidence edge ( confidence 7-10).,samples/6 node/6_nodes_S00137/no_caption/nodes_shape_tlp.png
sphynx_8,6,2,semi_adapted,shape_nodes,wrong_answer,1,2,True,13.264466500026174,Count the number of MALWARE nodes connected with at least 1 high confidence edge ( confidence 7-10).,samples/6 node/6_nodes_S00137/no_caption/nodes_shape_tlp.png
sphynx_9,6,2,semi_adapted,size_nodes,wrong_answer,3,2,True,10.44097909994889,Count the number of MALWARE nodes with high connection counts (node size 7-10),samples/6 node/6_nodes_S00143/no_caption/nodes_size_value.png
sphynx_2,6,2,semi_adapted,size_nodes,wrong_answer,0,2,True,4.747135000012349,Count the number of MALWARE nodes with high connection counts (node size 7-10),samples/6 node/6_nodes_S00143/no_caption/nodes_size_value.png
sphynx_3,12,1,fully_adapted,,wrong_answer,2,3,True,5.853715999983251,How many CYBER OBSERVABLE nodes are in the graph?,samples/12 node/12_nodes_S00072/no_caption/fully_adapted.png
sphynx_3,12,1,fully_adapted,,wrong_answer,5,7,True,13.896428600012086,Count the number of nodes with high connection counts (node size 7-10),samples/12 node/12_nodes_S00081/no_caption/fully_adapted.png
sphynx_10,12,1,fully_adapted,,wrong_answer,0,4,True,6.12086249999993,How many nodes have TLP:GREEN?,samples/12 node/12_nodes_S00075/no_caption/fully_adapted.png
sphynx_11,12,1,fully_adapted,,wrong_answer,4,3,True,13.53718939999817,How many CYBER OBSERVABLE nodes are in the graph?,samples/12 node/12_nodes_S00072/no_caption/fully_adapted.png
sphynx_8,12,1,fully_adapted,,no_response,,7,False,,Count the number of nodes with high connection counts (node size 7-10),samples/12 node/12_nodes_S00081/no_caption/fully_adapted.png
sphynx_12,12,1,non_adapted,,wrong_answer,7,1,True,13.875275899990811,How many nodes have TLP:GREEN?,samples/12 node/12_nodes_S00006/no_caption/non_adapted.png
sphynx_3,12,1,non_adapted,,no_response,,1,False,,How many nodes have TLP:GREEN?,samples/12 node/12_nodes_S00006/no_caption/non_adapted.png
trial_1_3,12,1,non_adapted,,wrong_answer,6,7,True,9.537237100070342,Count the number of nodes with high connection counts (node size 7-10),samples/12 node/12_nodes_S00009/no_caption/non_adapted.png
sphynx_7,12,1,non_adapted,,wrong_answer,4,7,True,17.867076199967414,Count the number of nodes with high connection counts (node size 7-10),samples/12 node/12_nodes_S00009/no_caption/non_adapted.png
sphynx_4,12,1,non_adapted,,wrong_answer,7,8,True,9.561472999997932,How many low confidence (confidence 1-3) edges exist in the graph?,samples/12 node/12_nodes_S00012/no_caption/non_adapted.png
sphynx_11,12,1,non_adapted,,wrong_answer,9,8,True,12.26616649999778,How many low confidence (confidence 1-3) edges exist in the graph?,samples/12 node/12_nodes_S00012/no_caption/non_adapted.png
sphynx_8,12,1,non_adapted,,wrong_answer,7,8,True,7.85296570009092,How many low confidence (confidence 1-3) edges exist in the graph?,samples/12 node/12_nodes_S00012/no_caption/non_adapted.png
sphynx_9,12,1,non_adapted,,wrong_answer,7,8,True,11.855241699959151,How many low confidence (confidence 1-3) edges exist in the graph?,samples/12 node/12_nodes_S00012/no_caption/non_adapted.png
sphynx_2,12,1,non_adapted,,wrong_answer,7,8,True,8.575209300004644,How many low confidence (confidence 1-3) edges exist in the graph?,samples/12 node/12_nodes_S00012/no_caption/non_adapted.png
trial_1_3,12,1,semi_adapted,size_nodes,wrong_answer,1,4,True,12.997307799989358,Count the number of nodes with high connection counts (node size 7-10),samples/12 node/12_nodes_S00141/no_caption/nodes_size_value.png
sphynx_5_1,12,1,semi_adapted,shape_nodes,no_response,,4,False,,How many CYBER OBSERVABLE nodes are in the graph?,samples/12 node/12_nodes_S00135/no_caption/nodes_shape_tlp.png
sphynx_7,12,1,semi_adapted,shape_nodes,wrong_answer,1,4,True,13.827184599940438,How many CYBER OBSERVABLE nodes are in the graph?,samples/12 node/12_nodes_S00135/no_caption/nodes_shape_tlp.png
sphynx_10,12,1,semi_adapted,color_nodes,wrong_answer,0,4,True,8.628289000000223,How many nodes have TLP:GREEN?,samples/12 node/12_nodes_S00138/no_caption/nodes_color_type.png
sphynx_9,12,1,semi_adapted,size_nodes,wrong_answer,7,4,True,14.399667500052601,Count the number of nodes with high connection counts (node size 7-10),samples/12 node/12_nodes_S00141/no_caption/nodes_size_value.png
sphynx_3,12,2,fully_adapted,,wrong_answer,3,1,True,17.44004100002371,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/12 node/12_nodes_S00090/no_caption/fully_adapted.png
sphynx_6,12,2,fully_adapted,,wrong_answer,3,4,True,15.48857129999692,Count the number of ATTACK PATTERN nodes connected with at least 1 low confidence edge? (confidence of 1-3).,samples/12 node/12_nodes_S00096/no_caption/fully_adapted.png
sphynx_5_1,12,2,fully_adapted,,wrong_answer,3,4,True,8.256089200032875,Count the number of ATTACK PATTERN nodes connected with at least 1 low confidence edge? (confidence of 1-3).,samples/12 node/12_nodes_S00096/no_caption/fully_adapted.png
sphynx_5_1,12,2,fully_adapted,,wrong_answer,0,1,True,6.038059799990151,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/12 node/12_nodes_S00090/no_caption/fully_adapted.png
sphynx_7,12,2,fully_adapted,,wrong_answer,2,3,True,10.503727799980197,Count the number of MALWARE nodes connected with at least 1 high confidence edge ( confidence 7-10).,samples/12 node/12_nodes_S00087/no_caption/fully_adapted.png
sphynx_7,12,2,fully_adapted,,wrong_answer,3,4,True,11.682665199972917,Count the number of ATTACK PATTERN nodes connected with at least 1 low confidence edge? (confidence of 1-3).,samples/12 node/12_nodes_S00096/no_caption/fully_adapted.png
sphynx_7,12,2,fully_adapted,,wrong_answer,3,1,True,16.557367599918734,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/12 node/12_nodes_S00090/no_caption/fully_adapted.png
sphynx_10,12,2,fully_adapted,,wrong_answer,3,1,True,10.458341399999881,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/12 node/12_nodes_S00090/no_caption/fully_adapted.png
sphynx_4,12,2,fully_adapted,,wrong_answer,2,3,True,10.184675600001128,Count the number of MALWARE nodes connected with at least 1 high confidence edge ( confidence 7-10).,samples/12 node/12_nodes_S00087/no_caption/fully_adapted.png
sphynx_4,12,2,fully_adapted,,wrong_answer,0,1,True,10.084616800002777,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/12 node/12_nodes_S00090/no_caption/fully_adapted.png
sphynx_11,12,2,fully_adapted,,wrong_answer,2,3,True,12.900928200004046,Count the number of MALWARE nodes connected with at least 1 high confidence edge ( confidence 7-10).,samples/12 node/12_nodes_S00087/no_caption/fully_adapted.png
sphynx_11,12,2,fully_adapted,,wrong_answer,2,4,True,10.345577099993534,Count the number of ATTACK PATTERN nodes connected with at least 1 low confidence edge? (confidence of 1-3).,samples/12 node/12_nodes_S00096/no_caption/fully_adapted.png
sphynx_11,12,2,fully_adapted,,no_response,,1,False,,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/12 node/12_nodes_S00090/no_caption/fully_adapted.png
sphynx_8,12,2,fully_adapted,,no_response,,1,False,,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/12 node/12_nodes_S00090/no_caption/fully_adapted.png
sphynx_9,12,2,fully_adapted,,wrong_answer,0,1,True,14.730489199980866,Count the number of MALWARE nodes with high connection counts (node size 7-10),samples/12 node/12_nodes_S00093/no_caption/fully_adapted.png
sphynx_9,12,2,fully_adapted,,no_response,,1,False,,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/12 node/12_nodes_S00090/no_caption/fully_adapted.png
sphynx_12,12,2,non_adapted,,no_response,,3,False,,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/12 node/12_nodes_S00018/no_caption/non_adapted.png
sphynx_12,12,2,non_adapted,,no_response,,5,False,,Count the number of ATTACK PATTERN nodes connected with at least 1 low confidence edge? (confidence of 1-3).,samples/12 node/12_nodes_S00027/no_caption/non_adapted.png
sphynx_13,12,2,non_adapted,,no_response,,3,False,,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/12 node/12_nodes_S00018/no_caption/non_adapted.png
sphynx_13,12,2,non_adapted,,no_response,,5,False,,Count the number of ATTACK PATTERN nodes connected with at least 1 low confidence edge? (confidence of 1-3).,samples/12 node/12_nodes_S00027/no_caption/non_adapted.png
sphynx_3,12,2,non_adapted,,wrong_answer,2,3,True,16.831037500000093,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/12 node/12_nodes_S00018/no_caption/non_adapted.png
sphynx_3,12,2,non_adapted,,wrong_answer,2,5,True,13.86146129999537,Count the number of ATTACK PATTERN nodes connected with at least 1 low confidence edge? (confidence of 1-3).,samples/12 node/12_nodes_S00027/no_caption/non_adapted.png
sphynx_3,12,2,non_adapted,,wrong_answer,1,2,True,16.83228100000997,Count the number of MALWARE nodes connected with at least 1 high confidence edge ( confidence 7-10).,samples/12 node/12_nodes_S00015/no_caption/non_adapted.png
trial_1_3,12,2,non_adapted,,no_response,,5,False,,Count the number of ATTACK PATTERN nodes connected with at least 1 low confidence edge? (confidence of 1-3).,samples/12 node/12_nodes_S00027/no_caption/non_adapted.png
sphynx_6,12,2,non_adapted,,wrong_answer,2,3,True,14.390112900000531,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/12 node/12_nodes_S00018/no_caption/non_adapted.png
sphynx_6,12,2,non_adapted,,no_response,,5,False,,Count the number of ATTACK PATTERN nodes connected with at least 1 low confidence edge? (confidence of 1-3).,samples/12 node/12_nodes_S00027/no_caption/non_adapted.png
sphynx_6,12,2,non_adapted,,no_response,,3,False,,Count the number of MALWARE nodes with high connection counts (node size 7-10),samples/12 node/12_nodes_S00024/no_caption/non_adapted.png
sphynx_5_1,12,2,non_adapted,,wrong_answer,2,3,True,17.410489099973347,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/12 node/12_nodes_S00018/no_caption/non_adapted.png
sphynx_5_1,12,2,non_adapted,,no_response,,5,False,,Count the number of ATTACK PATTERN nodes connected with at least 1 low confidence edge? (confidence of 1-3).,samples/12 node/12_nodes_S00027/no_caption/non_adapted.png
sphynx_7,12,2,non_adapted,,wrong_answer,1,3,True,17.724028199911118,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/12 node/12_nodes_S00018/no_caption/non_adapted.png
sphynx_7,12,2,non_adapted,,no_response,,5,False,,Count the number of ATTACK PATTERN nodes connected with at least 1 low confidence edge? (confidence of 1-3).,samples/12 node/12_nodes_S00027/no_caption/non_adapted.png
sphynx_7,12,2,non_adapted,,wrong_answer,1,2,True,14.525946100009605,Count the number of MALWARE nodes connected with at least 1 high confidence edge ( confidence 7-10).,samples/12 node/12_nodes_S00015/no_caption/non_adapted.png
sphynx_10,12,2,non_adapted,,no_response,,3,False,,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/12 node/12_nodes_S00018/no_caption/non_adapted.png
sphynx_10,12,2,non_adapted,,no_response,,5,False,,Count the number of ATTACK PATTERN nodes connected with at least 1 low confidence edge? (confidence of 1-3).,samples/12 node/12_nodes_S00027/no_caption/non_adapted.png
sphynx_10,12,2,non_adapted,,wrong_answer,2,3,True,9.103411900000083,Count the number of MALWARE nodes with high connection counts (node size 7-10),samples/12 node/12_nodes_S00024/no_caption/non_adapted.png
sphynx_4,12,2,non_adapted,,wrong_answer,2,3,True,16.26341539999703,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/12 node/12_nodes_S00018/no_caption/non_adapted.png
sphynx_4,12,2,non_adapted,,no_response,,5,False,,Count the number of ATTACK PATTERN nodes connected with at least 1 low confidence edge? (confidence of 1-3).,samples/12 node/12_nodes_S00027/no_caption/non_adapted.png
sphynx_4,12,2,non_adapted,,no_response,,2,False,,Count the number of MALWARE nodes connected with at least 1 high confidence edge ( confidence 7-10).,samples/12 node/12_nodes_S00015/no_caption/non_adapted.png
sphynx_11,12,2,non_adapted,,wrong_answer,1,3,True,15.87433140000212,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/12 node/12_nodes_S00018/no_caption/non_adapted.png
sphynx_11,12,2,non_adapted,,no_response,,5,False,,Count the number of ATTACK PATTERN nodes connected with at least 1 low confidence edge? (confidence of 1-3).,samples/12 node/12_nodes_S00027/no_caption/non_adapted.png
sphynx_11,12,2,non_adapted,,no_response,,2,False,,Count the number of MALWARE nodes connected with at least 1 high confidence edge ( confidence 7-10).,samples/12 node/12_nodes_S00015/no_caption/non_adapted.png
sphynx_8,12,2,non_adapted,,wrong_answer,2,3,True,15.153693499974892,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/12 node/12_nodes_S00018/no_caption/non_adapted.png
sphynx_8,12,2,non_adapted,,no_response,,5,False,,Count the number of ATTACK PATTERN nodes connected with at least 1 low confidence edge? (confidence of 1-3).,samples/12 node/12_nodes_S00027/no_caption/non_adapted.png
sphynx_8,12,2,non_adapted,,wrong_answer,0,2,True,9.921588700031862,Count the number of MALWARE nodes connected with at least 1 high confidence edge ( confidence 7-10).,samples/12 node/12_nodes_S00015/no_caption/non_adapted.png
sphynx_8,12,2,non_adapted,,wrong_answer,0,3,True,10.981886200024746,Count the number of MALWARE nodes with high connection counts (node size 7-10),samples/12 node/12_nodes_S00024/no_caption/non_adapted.png
sphynx_9,12,2,non_adapted,,no_response,,3,False,,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/12 node/12_nodes_S00018/no_caption/non_adapted.png
sphynx_9,12,2,non_adapted,,wrong_answer,4,5,True,15.188307799980976,Count the number of ATTACK PATTERN nodes connected with at least 1 low confidence edge? (confidence of 1-3).,samples/12 node/12_nodes_S00027/no_caption/non_adapted.png
sphynx_9,12,2,non_adapted,,wrong_answer,1,2,True,14.535071399994195,Count the number of MALWARE nodes connected with at least 1 high confidence edge ( confidence 7-10).,samples/12 node/12_nodes_S00015/no_caption/non_adapted.png
sphynx_9,12,2,non_adapted,,wrong_answer,0,3,True,12.017123900004663,Count the number of MALWARE nodes with high connection counts (node size 7-10),samples/12 node/12_nodes_S00024/no_caption/non_adapted.png
sphynx_2,12,2,non_adapted,,wrong_answer,2,3,True,17.403364500001757,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/12 node/12_nodes_S00018/no_caption/non_adapted.png
sphynx_2,12,2,non_adapted,,no_response,,5,False,,Count the number of ATTACK PATTERN nodes connected with at least 1 low confidence edge? (confidence of 1-3).,samples/12 node/12_nodes_S00027/no_caption/non_adapted.png
sphynx_12,12,2,semi_adapted,shape_nodes,wrong_answer,1,2,True,17.672812899996643,Count the number of MALWARE nodes connected with at least 1 high confidence edge ( confidence 7-10).,samples/12 node/12_nodes_S00147/no_caption/nodes_shape_tlp.png
sphynx_12,12,2,semi_adapted,color_nodes,wrong_answer,3,6,True,9.632824400003301,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/12 node/12_nodes_S00150/no_caption/nodes_color_type.png
sphynx_13,12,2,semi_adapted,color_nodes,wrong_answer,3,6,True,7.954123799994704,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/12 node/12_nodes_S00150/no_caption/nodes_color_type.png
sphynx_3,12,2,semi_adapted,shape_nodes,no_response,,2,False,,Count the number of MALWARE nodes connected with at least 1 high confidence edge ( confidence 7-10).,samples/12 node/12_nodes_S00147/no_caption/nodes_shape_tlp.png
sphynx_3,12,2,semi_adapted,color_nodes,no_response,,6,False,,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/12 node/12_nodes_S00150/no_caption/nodes_color_type.png
trial_1_3,12,2,semi_adapted,shape_nodes,no_response,,2,False,,Count the number of MALWARE nodes connected with at least 1 with a high confidence edge ( confidence 7-10).,samples/12 node/12_nodes_S00147/no_caption/nodes_shape_tlp.png
trial_1_3,12,2,semi_adapted,color_nodes,no_response,,6,False,,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/12 node/12_nodes_S00150/no_caption/nodes_color_type.png
sphynx_6,12,2,semi_adapted,shape_nodes,no_response,,2,False,,Count the number of MALWARE nodes connected with at least 1 high confidence edge ( confidence 7-10).,samples/12 node/12_nodes_S00147/no_caption/nodes_shape_tlp.png
sphynx_6,12,2,semi_adapted,edge_width,no_response,,4,False,,Count the number of ATTACK PATTERN nodes connected with at least 1 low confidence edge? (confidence of 1-3).,samples/12 node/12_nodes_S00156/no_caption/edge_width_connection_number.png
sphynx_6,12,2,semi_adapted,color_nodes,wrong_answer,5,6,True,15.495703499996807,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/12 node/12_nodes_S00150/no_caption/nodes_color_type.png
sphynx_5_1,12,2,semi_adapted,color_nodes,wrong_answer,3,6,True,12.081663799996022,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/12 node/12_nodes_S00150/no_caption/nodes_color_type.png
sphynx_7,12,2,semi_adapted,shape_nodes,wrong_answer,0,2,True,12.993316999985836,Count the number of MALWARE nodes connected with at least 1 high confidence edge ( confidence 7-10).,samples/12 node/12_nodes_S00147/no_caption/nodes_shape_tlp.png
sphynx_7,12,2,semi_adapted,edge_width,wrong_answer,5,4,True,15.40976840001531,Count the number of ATTACK PATTERN nodes connected with at least 1 low confidence edge? (confidence of 1-3).,samples/12 node/12_nodes_S00156/no_caption/edge_width_connection_number.png
sphynx_7,12,2,semi_adapted,color_nodes,wrong_answer,3,6,True,12.166306400089525,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/12 node/12_nodes_S00150/no_caption/nodes_color_type.png
sphynx_10,12,2,semi_adapted,shape_nodes,wrong_answer,1,2,True,16.917877500000003,Count the number of MALWARE nodes connected with at least 1 high confidence edge ( confidence 7-10).,samples/12 node/12_nodes_S00147/no_caption/nodes_shape_tlp.png
sphynx_10,12,2,semi_adapted,color_nodes,wrong_answer,5,6,True,16.250532699999894,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/12 node/12_nodes_S00150/no_caption/nodes_color_type.png
