question_id,graph_image,file_name,number_of_nodes,question_level,visualisation_type,adaptation,question,digital_ink,data_utility,effectiveness,image_path,error
11,samples/6 node/6_nodes_S00071/no_caption/fully_adapted.png,fully_adapted.png,6,1,fully_adapted,fully_adapted,Count the number of nodes with high connection counts (node size 7-10),761.486,13,0.01707188,/home/user/Documents/sphynx pilots stuff/All data/post_analysis/images/samples/6 node/6_nodes_S00071/no_caption/fully_adapted.png,
12,samples/6 node/6_nodes_S00074/no_caption/fully_adapted.png,fully_adapted.png,6,1,fully_adapted,fully_adapted,How many low confidence (confidence 1-3) edges exist in the graph?,758.5779,13,0.01713733,/home/user/Documents/sphynx pilots stuff/All data/post_analysis/images/samples/6 node/6_nodes_S00074/no_caption/fully_adapted.png,
13,samples/6 node/6_nodes_S00077/no_caption/fully_adapted.png,fully_adapted.png,6,2,fully_adapted,fully_adapted,Count the number of MALWARE nodes connected with at least 1 high confidence edge ( confidence 7-10).,761.4417,13,0.01707288,/home/user/Documents/sphynx pilots stuff/All data/post_analysis/images/samples/6 node/6_nodes_S00077/no_caption/fully_adapted.png,
14,samples/6 node/6_nodes_S00080/no_caption/fully_adapted.png,fully_adapted.png,6,2,fully_adapted,fully_adapted,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,759.5053,13,0.01711641,/home/user/Documents/sphynx pilots stuff/All data/post_analysis/images/samples/6 node/6_nodes_S00080/no_caption/fully_adapted.png,
15,samples/6 node/6_nodes_S00083/no_caption/fully_adapted.png,fully_adapted.png,6,2,fully_adapted,fully_adapted,Count the number of MALWARE nodes with high connection counts (node size 7-10),759.8467,13,0.01710871,/home/user/Documents/sphynx pilots stuff/All data/post_analysis/images/samples/6 node/6_nodes_S00083/no_caption/fully_adapted.png,
16,samples/6 node/6_nodes_S00086/no_caption/fully_adapted.png,fully_adapted.png,6,2,fully_adapted,fully_adapted,Count the number of ATTACK PATTERN nodes connected with at least 1 low confidence edge? (confidence of 1-3).,760.0199,13,0.01710482,/home/user/Documents/sphynx pilots stuff/All data/post_analysis/images/samples/6 node/6_nodes_S00086/no_caption/fully_adapted.png,
17,samples/6 node/6_nodes_S00125/no_caption/nodes_shape_tlp.png,nodes_shape_tlp.png,6,1,shape_nodes,semi_adapted,How many CYBER OBSERVABLE nodes are in the graph?,762.604,13,0.01704686,/home/user/Documents/sphynx pilots stuff/All data/post_analysis/images/samples/6 node/6_nodes_S00125/no_caption/nodes_shape_tlp.png,
18,samples/6 node/6_nodes_S00128/no_caption/nodes_color_type.png,nodes_color_type.png,6,1,color_nodes,semi_adapted,How many nodes have TLP:GREEN?,761.5101,13,0.01707134,/home/user/Documents/sphynx pilots stuff/All data/post_analysis/images/samples/6 node/6_nodes_S00128/no_caption/nodes_color_type.png,
19,samples/6 node/6_nodes_S00131/no_caption/nodes_size_value.png,nodes_size_value.png,6,1,size_nodes,semi_adapted,Count the number of nodes with high connection counts (node size 7-10),761.8457,13,0.01706382,/home/user/Documents/sphynx pilots stuff/All data/post_analysis/images/samples/6 node/6_nodes_S00131/no_caption/nodes_size_value.png,
20,samples/6 node/6_nodes_S00134/no_caption/edge_width_connection_number.png,edge_width_connection_number.png,6,1,edge_width,semi_adapted,How many low confidence (confidence 1-3) edges exist in the graph?,761.1416,13,0.01707961,/home/user/Documents/sphynx pilots stuff/All data/post_analysis/images/samples/6 node/6_nodes_S00134/no_caption/edge_width_connection_number.png,
21,samples/6 node/6_nodes_S00137/no_caption/nodes_shape_tlp.png,nodes_shape_tlp.png,6,2,shape_nodes,semi_adapted,Count the number of MALWARE nodes connected with at least 1 high confidence edge ( confidence 7-10).,762.1083,13,0.01705794,/home/user/Documents/sphynx pilots stuff/All data/post_analysis/images/samples/6 node/6_nodes_S00137/no_caption/nodes_shape_tlp.png,
22,samples/6 node/6_nodes_S00140/no_caption/nodes_color_type.png,nodes_color_type.png,6,2,color_nodes,semi_adapted,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,760.6994,13,0.01708954,/home/user/Documents/sphynx pilots stuff/All data/post_analysis/images/samples/6 node/6_nodes_S00140/no_caption/nodes_color_type.png,
23,samples/6 node/6_nodes_S00143/no_caption/nodes_size_value.png,nodes_size_value.png,6,2,size_nodes,semi_adapted,Count the number of MALWARE nodes with high connection counts (node size 7-10),762.4038,13,0.01705133,/home/user/Documents/sphynx pilots stuff/All data/post_analysis/images/samples/6 node/6_nodes_S00143/no_caption/nodes_size_value.png,
24,samples/6 node/6_nodes_S00146/no_caption/edge_width_connection_number.png,edge_width_connection_number.png,6,2,edge_width,semi_adapted,Count the number of ATTACK PATTERN nodes connected with at least 1 low confidence edge? (confidence of 1-3).,762.27,13,0.01705433,/home/user/Documents/sphynx pilots stuff/All data/post_analysis/images/samples/6 node/6_nodes_S00146/no_caption/edge_width_connection_number.png,
25,samples/12 node/12_nodes_S00003/no_caption/non_adapted.png,non_adapted.png,12,1,non_adapted,non_adapted,How many CYBER OBSERVABLE nodes are in the graph?,760.2617,25,0.03288341,/home/user/Documents/sphynx pilots stuff/All data/post_analysis/images/samples/12 node/12_nodes_S00003/no_caption/non_adapted.png,
26,samples/12 node/12_nodes_S00006/no_caption/non_adapted.png,non_adapted.png,12,1,non_adapted,non_adapted,How many nodes have TLP:GREEN?,759.8392,25,0.0329017,/home/user/Documents/sphynx pilots stuff/All data/post_analysis/images/samples/12 node/12_nodes_S00006/no_caption/non_adapted.png,
27,samples/12 node/12_nodes_S00009/no_caption/non_adapted.png,non_adapted.png,12,1,non_adapted,non_adapted,Count the number of nodes with high connection counts (node size 7-10),760.0325,25,0.03289333,/home/user/Documents/sphynx pilots stuff/All data/post_analysis/images/samples/12 node/12_nodes_S00009/no_caption/non_adapted.png,
28,samples/12 node/12_nodes_S00012/no_caption/non_adapted.png,non_adapted.png,12,1,non_adapted,non_adapted,How many low confidence (confidence 1-3) edges exist in the graph?,760.0568,25,0.03289228,/home/user/Documents/sphynx pilots stuff/All data/post_analysis/images/samples/12 node/12_nodes_S00012/no_caption/non_adapted.png,
29,samples/12 node/12_nodes_S00015/no_caption/non_adapted.png,non_adapted.png,12,2,non_adapted,non_adapted,Count the number of MALWARE nodes connected with at least 1 high confidence edge ( confidence 7-10).,759.9632,25,0.03289633,/home/user/Documents/sphynx pilots stuff/All data/post_analysis/images/samples/12 node/12_nodes_S00015/no_caption/non_adapted.png,
30,samples/12 node/12_nodes_S00018/no_caption/non_adapted.png,non_adapted.png,12,2,non_adapted,non_adapted,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,760.4417,25,0.03287563,/home/user/Documents/sphynx pilots stuff/All data/post_analysis/images/samples/12 node/12_nodes_S00018/no_caption/non_adapted.png,
31,samples/12 node/12_nodes_S00024/no_caption/non_adapted.png,non_adapted.png,12,2,non_adapted,non_adapted,Count the number of MALWARE nodes with high connection counts (node size 7-10),760.1608,25,0.03288778,/home/user/Documents/sphynx pilots stuff/All data/post_analysis/images/samples/12 node/12_nodes_S00024/no_caption/non_adapted.png,
32,samples/12 node/12_nodes_S00027/no_caption/non_adapted.png,non_adapted.png,12,2,non_adapted,non_adapted,Count the number of ATTACK PATTERN nodes connected with at least 1 low confidence edge? (confidence of 1-3).,760.2371,25,0.03288448,/home/user/Documents/sphynx pilots stuff/All data/post_analysis/images/samples/12 node/12_nodes_S00027/no_caption/non_adapted.png,
33,samples/12 node/12_nodes_S00072/no_caption/fully_adapted.png,fully_adapted.png,12,1,fully_adapted,fully_adapted,How many CYBER OBSERVABLE nodes are in the graph?,759.4647,25,0.03291792,/home/user/Documents/sphynx pilots stuff/All data/post_analysis/images/samples/12 node/12_nodes_S00072/no_caption/fully_adapted.png,
34,samples/12 node/12_nodes_S00075/no_caption/fully_adapted.png,fully_adapted.png,12,1,fully_adapted,fully_adapted,How many nodes have TLP:GREEN?,757.9385,25,0.03298421,/home/user/Documents/sphynx pilots stuff/All data/post_analysis/images/samples/12 node/12_nodes_S00075/no_caption/fully_adapted.png,
35,samples/12 node/12_nodes_S00081/no_caption/fully_adapted.png,fully_adapted.png,12,1,fully_adapted,fully_adapted,Count the number of nodes with high connection counts (node size 7-10),757.5796,25,0.03299983,/home/user/Documents/sphynx pilots stuff/All data/post_analysis/images/samples/12 node/12_nodes_S00081/no_caption/fully_adapted.png,
36,samples/12 node/12_nodes_S00084/no_caption/fully_adapted.png,fully_adapted.png,12,1,fully_adapted,fully_adapted,How many low confidence (confidence 1-3) edges exist in the graph?,758.7919,25,0.03294711,/home/user/Documents/sphynx pilots stuff/All data/post_analysis/images/samples/12 node/12_nodes_S00084/no_caption/fully_adapted.png,
37,samples/12 node/12_nodes_S00087/no_caption/fully_adapted.png,fully_adapted.png,12,2,fully_adapted,fully_adapted,Count the number of MALWARE nodes connected with at least 1 high confidence edge ( confidence 7-10).,757.6093,25,0.03299854,/home/user/Documents/sphynx pilots stuff/All data/post_analysis/images/samples/12 node/12_nodes_S00087/no_caption/fully_adapted.png,
38,samples/12 node/12_nodes_S00090/no_caption/fully_adapted.png,fully_adapted.png,12,2,fully_adapted,fully_adapted,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,759.4551,25,0.03291834,/home/user/Documents/sphynx pilots stuff/All data/post_analysis/images/samples/12 node/12_nodes_S00090/no_caption/fully_adapted.png,
39,samples/12 node/12_nodes_S00093/no_caption/fully_adapted.png,fully_adapted.png,12,2,fully_adapted,fully_adapted,Count the number of MALWARE nodes with high connection counts (node size 7-10),758.5538,25,0.03295745,/home/user/Documents/sphynx pilots stuff/All data/post_analysis/images/samples/12 node/12_nodes_S00093/no_caption/fully_adapted.png,
40,samples/12 node/12_nodes_S00096/no_caption/fully_adapted.png,fully_adapted.png,12,2,fully_adapted,fully_adapted,Count the number of ATTACK PATTERN nodes connected with at least 1 low confidence edge? (confidence of 1-3).,760.2596,25,0.03288351,/home/user/Documents/sphynx pilots stuff/All data/post_analysis/images/samples/12 node/12_nodes_S00096/no_caption/fully_adapted.png,
41,samples/12 node/12_nodes_S00135/no_caption/nodes_shape_tlp.png,nodes_shape_tlp.png,12,1,shape_nodes,semi_adapted,How many CYBER OBSERVABLE nodes are in the graph?,761.0899,25,0.03284763,/home/user/Documents/sphynx pilots stuff/All data/post_analysis/images/samples/12 node/12_nodes_S00135/no_caption/nodes_shape_tlp.png,
42,samples/12 node/12_nodes_S00138/no_caption/nodes_color_type.png,nodes_color_type.png,12,1,color_nodes,semi_adapted,How many nodes have TLP:GREEN?,757.3837,25,0.03300837,/home/user/Documents/sphynx pilots stuff/All data/post_analysis/images/samples/12 node/12_nodes_S00138/no_caption/nodes_color_type.png,
43,samples/12 node/12_nodes_S00141/no_caption/nodes_size_value.png,nodes_size_value.png,12,1,size_nodes,semi_adapted,Count the number of nodes with high connection counts (node size 7-10),760.4412,25,0.03287565,/home/user/Documents/sphynx pilots stuff/All data/post_analysis/images/samples/12 node/12_nodes_S00141/no_caption/nodes_size_value.png,
44,samples/12 node/12_nodes_S00144/no_caption/edge_width_connection_number.png,edge_width_connection_number.png,12,1,edge_width,semi_adapted,How many low confidence (confidence 1-3) edges exist in the graph?,759.4009,25,0.03292069,/home/user/Documents/sphynx pilots stuff/All data/post_analysis/images/samples/12 node/12_nodes_S00144/no_caption/edge_width_connection_number.png,
45,samples/12 node/12_nodes_S00147/no_caption/nodes_shape_tlp.png,nodes_shape_tlp.png,12,2,shape_nodes,semi_adapted,Count the number of MALWARE nodes connected with at least 1 high confidence edge ( confidence 7-10).,761.4028,25,0.03283413,/home/user/Documents/sphynx pilots stuff/All data/post_analysis/images/samples/12 node/12_nodes_S00147/no_caption/nodes_shape_tlp.png,
46,samples/12 node/12_nodes_S00150/no_caption/nodes_color_type.png,nodes_color_type.png,12,2,color_nodes,semi_adapted,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,757.5262,25,0.03300216,/home/user/Documents/sphynx pilots stuff/All data/post_analysis/images/samples/12 node/12_nodes_S00150/no_caption/nodes_color_type.png,
47,samples/12 node/12_nodes_S00153/no_caption/nodes_size_value.png,nodes_size_value.png,12,2,size_nodes,semi_adapted,Count the number of MALWARE nodes with high connection counts (node size 7-10),760.6803,25,0.03286532,/home/user/Documents/sphynx pilots stuff/All data/post_analysis/images/samples/12 node/12_nodes_S00153/no_caption/nodes_size_value.png,
48,samples/12 node/12_nodes_S00156/no_caption/edge_width_connection_number.png,edge_width_connection_number.png,12,2,edge_width,semi_adapted,Count the number of ATTACK PATTERN nodes connected with at least 1 low confidence edge? (confidence of 1-3).,760.0776,25,0.03289138,/home/user/Documents/sphynx pilots stuff/All data/post_analysis/images/samples/12 node/12_nodes_S00156/no_caption/edge_width_connection_number.png,
